_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
478;In Sandfort;4;9;14;3;9;
479;Industriestraße;6;1;3;6;1;
480;Insterburger Straße;10;9;11;4;9;
481;Isarstraße;6;1;3;6;1;
482;Isergebirgsstraße;8;10;19;5;10;
483;Jägerstraße;8;10;19;5;10;
484;Jahnstraße;9;8;9;1;8;
485;Jakob-Schroer-Straße;9;8;15;5;8;
486;Jakobweg;7;2;13;2;2;
487;James-Krüss-Straße;6;1;3;6;1;
488;Jan-Hus-Straße;1;4;6;2;4;
489;Joachimstraße;5;6;10;5;6;
490;Jockenstraße;8;10;19;5;10;
491;Johann-Steegmann-Allee;4;9;20;4;9;
492;Josef-Peil-Weg;8;10;19;5;10;
493;Josefstraße;2;3;4;3;3;
494;Jüchenstraße;9;5;15;5;5;
495;Julius-Genner-Straße;2;3;16;3;3;
496;Julius-Leber-Straße;2;3;8;3;3;
497;Jungbornstraße;4;9;18;4;9;
498;Jupiterweg;5;7;12;5;7;
499;Jütenstraße;8;10;19;5;10;
500;Kaiserstraße;2;3;4;3;3;
501;Kaldenhausener Straße;6;2;1;6;2;
502;Kamper Straße;4;9;18;3;9;
503;Kampstraße;8;10;19;5;10;
504;Kantstraße;2;3;5;3;3;
505;Karl-Hoffmeister-Platz;2;3;17;3;3;
506;Karl-Hoffmeister-Straße;2;3;17;3;3;
507;Karlstraße;7;6;13;2;6;
508;Karolingerstraße;8;10;19;5;10;
509;Kastanienstraße;6;2;1;6;2;
510;Kastell;3;3;8;3;3;
511;Katharinenstraße;6;1;3;6;1;
512;Käthe-Kollwitz-Straße;4;9;20;4;9;
513;Kattlachstraße;10;10;20;4;10;
514;Kattowitzer Straße;5;7;10;5;7;
515;Katzbachstraße;5;7;10;5;7;
516;Kautzstraße;2;3;17;3;3;
517;Keltenstraße;8;10;19;5;10;
518;Kendelstraße;1;4;6;2;4;
519;Keplerstraße;2;3;5;3;3;
520;Kiebitzweg;4;9;20;4;9;
521;Kiefernkamp;8;10;19;5;10;
522;Kiefernweg;6;2;1;6;2;
523;Kieselweg;7;5;7;2;5;
524;Kimbernstraße;8;10;19;5;10;
525;Kirchfeld;2;3;16;1;3;
526;Kirchstraße;3;3;8;3;3;
527;Kirchweg;1;4;6;2;4;
528;Kirschenallee;9;7;9;1;7;
529;Klapdorsweg;6;1;3;6;1;
530;Kleestraße;5;6;10;5;6;
531;Kleine Allee;3;3;8;3;3;
532;Kleiststraße;8;8;15;5;8;
533;Klever Platz;9;8;9;1;8;
534;Klever Straße;2;3;16;1;3;
535;Klodnitzstraße;5;7;10;5;7;
536;Klosterstraße;3;3;8;3;3;
537;Knappenstraße;9;8;9;1;8;
538;Kohlenhucker Weg;10;10;20;4;10;
539;Kohlenstraße;9;7;12;1;7;
540;Kometenstraße;5;7;12;5;7;
541;Königsberger Straße;9;6;7;1;6;
542;Konrad-Adenauer-Straße;10;9;11;4;9;
543;Konradstraße;2;3;4;2;3;
544;Konrad-Zuse-Straße;8;10;15;1;10;
545;Konstantinstraße;7;5;13;2;5;
546;Kopernikusstraße;10;9;11;4;9;
547;Korneliusstraße;2;3;4;3;3;
548;Körnerstraße;8;8;15;5;8;
549;Kornstraße;5;6;10;5;6;
550;Kranichstraße;3;2;8;3;2;
551;Kranzerhof;6;1;3;6;1;
552;"Krefelder Straße (1-97; 2-40)";3;2;14;3;2;
553;"Krefelder Straße (99-Ende; 42-Ende)";6;2;14;6;2;
554;Kressenstraße;8;10;19;5;10;
555;Kronenstraße;9;7;9;1;7;
556;Kronprinzenstraße;7;5;13;2;5;
557;Kuckucksweg;4;9;18;4;9;
558;Kühlerstraße;4;9;20;4;9;
559;Kuhlmannstraße;4;9;18;4;9;
560;Küppersweg;6;2;1;6;2;
561;Kurlandstraße;10;9;11;4;9;
562;Kurt-Schumacher-Allee;10;9;11;4;9;
563;Kurt-Tucholsky-Straße;6;1;3;6;1;
564;Kurze Straße;2;3;4;3;3;
565;Laakweg;1;4;6;2;4;
566;Landwehrstraße;2;3;16;3;3;
567;Lange Straße;4;9;18;4;9;
568;Länglingsweg;1;4;2;2;4;
569;Lärchenweg;6;2;1;6;2;
570;Latenweg;10;9;11;4;9;
571;Lauersforter Straße;6;2;1;6;2;
572;Lauersforter Waldweg;6;2;1;6;2;
573;Lauffstraße;4;9;18;3;9;
574;Lavendelstraße;8;10;19;5;10;
575;Lehmbruckstraße;1;4;2;2;4;
576;Leibnizstraße;2;3;5;3;3;
577;Leinestraße;6;1;3;6;1;
578;Leipziger Straße;2;4;4;2;4;
579;Leissstraße;9;8;9;1;8;
580;Lerchenstraße;3;2;8;3;2;
581;Lerschstraße;4;9;18;4;9;
582;Lessingstraße;8;8;15;5;8;
583;Leuschnerstraße;4;9;18;4;9;
584;Liebigstraße;2;3;5;3;3;
585;Liebrechtstraße;8;10;19;5;10;
586;Liegnitzer Weg;8;10;19;5;10;
587;Lilienweg;6;1;3;6;1;
588;Lindenstraße;9;8;9;1;8;
589;Linnbruchweg;6;1;3;6;1;
590;Lintforter Straße;4;9;18;3;9;
591;Lippestraße;9;8;9;1;8;
592;Lobelienweg;6;1;3;6;1;
593;Lockertstraße;7;5;4;2;5;
594;Lohestraße;5;7;10;5;7;
595;Lortzingstraße;6;1;3;6;1;
596;Lotharstraße;9;6;9;1;6;
597;Ludwig-Richter-Ring;1;4;2;2;4;
598;Ludwigstraße;6;1;3;6;1;
599;Luisenstraße;9;7;12;5;7;
600;Luiter Straße;6;1;3;6;1;
601;Lupinenweg;6;1;3;6;1;
602;Lützstraße;5;7;10;5;7;
603;Magnolienweg;4;9;20;4;9;
604;Maiblumenstraße;6;1;3;6;1;
605;Mainstraße;9;8;9;1;8;
606;Malmedyer Straße;9;8;9;1;8;
607;Malvenstraße;8;10;19;5;10;
608;Marc-Aurel-Straße;7;3;4;2;3;
609;Marderweg;7;5;13;2;5;
610;Margarethenstraße;1;4;6;2;4;
611;Maria-Djuk-Straße;1;4;6;2;4;
612;Maria-Juchacz-Straße;10;9;11;4;9;
613;Marienburger Straße;9;8;9;1;8;
614;Marienstraße;6;1;3;6;1;
615;Markt;4;10;18;3;10;
616;Marktstraße;8;10;19;5;10;
617;Marsweg;5;7;12;5;7;
618;Martin-Luther-Ring;1;4;6;2;4;
619;Martinstraße;2;3;4;2;3;
620;Masurenstraße;8;10;19;5;10;
621;Max-Beckmann-Straße;6;2;1;6;2;
622;Max-Planck-Straße;2;3;5;3;3;
623;Maxstraße;7;6;7;2;6;
624;Meerstraße;3;3;8;3;3;
625;Meisenweg;3;2;8;3;2;
626;Melanchthonstraße;1;4;6;2;4;
627;Melissenstraße;8;10;19;5;10;
